index_code,con_code,trade_date,weight
000016.SH,600150.SH,20250530,0.866
000016.SH,688111.SH,20250530,0.823
000016.SH,601628.SH,20250530,0.805
000016.SH,601658.SH,20250530,0.747
000016.SH,601888.SH,20250530,0.747
000016.SH,600048.SH,20250530,0.737
000016.SH,601390.SH,20250530,0.725
000016.SH,603993.SH,20250530,0.642
000016.SH,600438.SH,20250530,0.556
000016.SH,601633.SH,20250530,0.354
000016.SH,600519.SH,20250430,12.482
000016.SH,601318.SH,20250430,7.011
000016.SH,600036.SH,20250430,6.478
000016.SH,600900.SH,20250430,4.636
000016.SH,601166.SH,20250430,3.899
000016.SH,601899.SH,20250430,3.694
000016.SH,601398.SH,20250430,3.156
000016.SH,600030.SH,20250430,3.145
000016.SH,600276.SH,20250430,2.931
000016.SH,600887.SH,20250430,2.434
000016.SH,688981.SH,20250430,2.275
000016.SH,601328.SH,20250430,2.26
000016.SH,601288.SH,20250430,2.223
000016.SH,601816.SH,20250430,2.199
000016.SH,603259.SH,20250430,1.901
000016.SH,688256.SH,20250430,1.887
000016.SH,688041.SH,20250430,1.775
000016.SH,601088.SH,20250430,1.623
000016.SH,601728.SH,20250430,1.534
000016.SH,601988.SH,20250430,1.497
000016.SH,601668.SH,20250430,1.473
000016.SH,600031.SH,20250430,1.44
000016.SH,603501.SH,20250430,1.439
000016.SH,601127.SH,20250430,1.367
000016.SH,600309.SH,20250430,1.317
000016.SH,601601.SH,20250430,1.312
000016.SH,600941.SH,20250430,1.302
000016.SH,600809.SH,20250430,1.279
000016.SH,600690.SH,20250430,1.195
000016.SH,601919.SH,20250430,1.177
000016.SH,601857.SH,20250430,1.163
000016.SH,601012.SH,20250430,1.145
000016.SH,600406.SH,20250430,1.143
000016.SH,601766.SH,20250430,1.097
000016.SH,600050.SH,20250430,1.087
000016.SH,600028.SH,20250430,1.06
000016.SH,688012.SH,20250430,1.054
000016.SH,601985.SH,20250430,0.975
000016.SH,601225.SH,20250430,0.955
000016.SH,603288.SH,20250430,0.898
