ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000016.SH,20230828,2518.1857,2612.3112,2612.9783,2507.978,2485.3343,32.8514,1.3218,54527239.0,94406029.788
000016.SH,20230825,2485.3343,2468.7355,2502.1944,2466.5471,2480.7518,4.5825,0.1847,30085353.0,45300298.181
000016.SH,20230824,2480.7518,2468.3246,2497.1923,2466.8603,2461.1872,19.5646,0.7949,36665820.0,51892678.971
000016.SH,20230823,2461.1872,2491.368,2498.3189,2459.3279,2493.7638,-32.5766,-1.3063,29654617.0,43379265.151
000016.SH,20230822,2493.7638,2485.5578,2505.0268,2464.2796,2475.0897,18.6741,0.7545,41261520.0,58477808.003
000016.SH,20230821,2475.0897,2498.1276,2508.9589,2475.0897,2507.5798,-32.4901,-1.2957,28643647.0,47508877.684
000016.SH,20230818,2507.5798,2537.1357,2545.8023,2507.5798,2536.4891,-28.9093,-1.1397,26305781.0,44099171.462
000016.SH,20230817,2536.4891,2516.745,2540.5376,2507.9033,2530.8097,5.6794,0.2244,24783544.0,44195356.241
000016.SH,20230816,2530.8097,2533.9013,2549.9444,2529.4349,2546.442,-15.6323,-0.6139,25629806.0,44756946.069
000016.SH,20230815,2546.442,2550.9372,2556.0034,2522.2378,2549.2843,-2.8423,-0.1115,27888491.0,46065116.622
000016.SH,20230814,2549.2843,2538.8476,2554.3945,2526.0695,2568.8984,-19.6141,-0.7635,33544098.0,51938867.449
000016.SH,20230811,2568.8984,2630.9874,2631.8013,2568.8984,2629.4432,-60.5448,-2.3026,35996802.0,56193241.344
000016.SH,20230810,2629.4432,2623.7991,2632.5732,2609.8236,2628.7041,0.7391,0.0281,24628325.0,42538513.296
000016.SH,20230809,2628.7041,2623.1513,2638.0859,2622.0638,2631.3774,-2.6733,-0.1016,23987307.0,43024801.753
000016.SH,20230808,2631.3774,2625.6672,2646.5966,2610.8068,2634.5809,-3.2035,-0.1216,27366486.0,50836904.224
000016.SH,20230807,2634.5809,2635.7775,2636.6929,2622.674,2648.8447,-14.2638,-0.5385,31748609.0,55108582.243
000016.SH,20230804,2648.8447,2664.5865,2680.7437,2646.1524,2645.1526,3.6921,0.1396,48203634.0,84194647.953
000016.SH,20230803,2645.1526,2617.7909,2647.3594,2612.3989,2620.6844,24.4682,0.9337,34042304.0,63279356.036
000016.SH,20230802,2620.6844,2635.5453,2651.1836,2612.3457,2645.8929,-25.2085,-0.9527,37123029.0,56598618.438
000016.SH,20230801,2645.8929,2652.2365,2670.2477,2636.1522,2653.369,-7.4761,-0.2818,39178875.0,68052476.6
000016.SH,20230731,2653.369,2666.4857,2700.7393,2644.0947,2647.0315,6.3375,0.2394,51744806.0,99450613.4
000016.SH,20230728,2647.0315,2564.8738,2653.2579,2563.1555,2575.3646,71.6669,2.7828,48566528.0,86726876.2
000016.SH,20230727,2575.3646,2580.2428,2596.3259,2569.0985,2576.3902,-1.0256,-0.0398,29762572.0,49060162.845
000016.SH,20230726,2576.3902,2574.8065,2581.2533,2564.8874,2578.3511,-1.9609,-0.0761,26070635.0,44788260.4
000016.SH,20230725,2578.3511,2539.4846,2578.9601,2539.4846,2499.9998,78.3513,3.1341,40357653.0,79008147.71
000016.SH,20230724,2499.9998,2492.2164,2509.7773,2492.1859,2509.2927,-9.2929,-0.3703,19065789.0,34856260.188
000016.SH,20230721,2509.2927,2501.3999,2527.2801,2496.8134,2506.863,2.4297,0.0969,22413005.0,45052392.11
000016.SH,20230720,2506.863,2523.2684,2535.6087,2503.4795,2517.106,-10.243,-0.4069,24549000.0,42610044.495
000016.SH,20230719,2517.106,2506.4151,2518.9013,2503.3425,2511.6351,5.4709,0.2178,22119097.0,37415209.259
000016.SH,20230718,2511.6351,2520.6224,2520.6224,2503.5212,2520.7864,-9.1513,-0.363,26681996.0,39420796.447
000016.SH,20230717,2520.7864,2535.6389,2535.6389,2511.3565,2547.9393,-27.1529,-1.0657,31735395.0,42315771.385
000016.SH,20230714,2547.9393,2554.6419,2556.8487,2543.1841,2546.3809,1.5584,0.0612,36353195.0,53084177.594
000016.SH,20230713,2546.3809,2519.3819,2547.782,2519.3819,2513.417,32.9639,1.3115,34374789.0,62647470.869
000016.SH,20230712,2513.417,2516.6806,2529.5326,2510.1589,2518.5282,-5.1112,-0.2029,30323021.0,54934620.605
000016.SH,20230711,2518.5282,2513.7126,2521.0489,2504.2001,2503.2767,15.2515,0.6093,22815691.0,42603358.961
000016.SH,20230710,2503.2767,2501.5277,2520.1486,2495.8671,2489.5351,13.7416,0.552,24539131.0,49665437.57
000016.SH,20230707,2489.5351,2493.4877,2500.5787,2484.8914,2501.3167,-11.7816,-0.471,24025853.0,38938932.143
000016.SH,20230706,2501.3167,2513.4349,2525.5565,2495.9099,2520.1751,-18.8584,-0.7483,26487658.0,41017249.402
000016.SH,20230705,2520.1751,2533.1936,2537.1949,2514.0871,2537.5956,-17.4205,-0.6865,30813953.0,45550021.583
000016.SH,20230704,2537.5956,2532.5929,2539.818,2525.3805,2534.4735,3.1221,0.1232,31286966.0,52126055.072
000016.SH,20230703,2534.4735,2496.9222,2537.6938,2496.4289,2492.102,42.3715,1.7002,34624875.0,57132259.417
000016.SH,20230630,2492.102,2484.6471,2508.2453,2482.486,2490.8971,1.2049,0.0484,24104247.0,42135282.856
000016.SH,20230629,2490.8971,2510.8894,2513.5512,2490.6374,2510.7153,-19.8182,-0.7893,24269593.0,43022267.369
000016.SH,20230628,2510.7153,2501.1627,2511.6156,2491.2549,2506.5991,4.1162,0.1642,27910636.0,45695510.039
000016.SH,20230627,2506.5991,2490.9775,2513.9844,2481.7467,2488.7383,17.8608,0.7177,32448209.0,46624060.192
000016.SH,20230626,2488.7383,2500.8549,2503.1134,2482.6065,2519.0787,-30.3404,-1.2044,31879471.0,50260727.995
000016.SH,20230621,2519.0787,2536.951,2548.9254,2519.0787,2547.2541,-28.1754,-1.1061,32391757.0,51235420.03
000016.SH,20230620,2547.2541,2558.0983,2564.5449,2544.0476,2560.5289,-13.2748,-0.5184,28713670.0,48101831.19
000016.SH,20230619,2560.5289,2591.3342,2591.3342,2556.8878,2600.9191,-40.3902,-1.5529,36473350.0,60383661.948
000016.SH,20230616,2600.9191,2581.9668,2604.6346,2581.7748,2576.7424,24.1767,0.9383,35861299.0,67728823.524
000016.SH,20230615,2576.7424,2547.4931,2576.7424,2546.2124,2541.8134,34.929,1.3742,32520795.0,64384484.181
000016.SH,20230614,2541.8134,2549.6657,2564.3415,2540.5795,2544.9504,-3.137,-0.1233,33883066.0,57839059.906
000016.SH,20230613,2544.9504,2535.9888,2547.8509,2523.9744,2542.1962,2.7542,0.1083,29331674.0,47244641.394
000016.SH,20230612,2542.1962,2536.3759,2553.9938,2524.3125,2543.9316,-1.7354,-0.0682,36235161.0,57420125.818
